NAME	Other	Non-inflammatory_Macrophage	alpha-beta_T_Cells	Inflammatory_Macrophage	NK-like_Cells	gamma-delta_T_Cells	Mature_B_Cells	Plasma_Cells
CHMP4A	1	1	131.425804036453	1	151.870362289283	116.113227897105	80.1077059037436	1
CHMP4B	1	1	1	83.9356205031706	1	1	1	1
CHP1	144.843860185131	63.0141258617627	1	116.741395748177	1	1	1	1
CHPT1	64.0403767902124	1	1	1	1	1	76.5459260206333	1
CHST12	1	1	115.267624099568	1	259.05835686524	200.670197989988	1	1
CIB1	83.8352385207025	1	123.610925212638	1	112.21767599958	124.274738021452	99.8267013586442	1
CIDEB	79.4283965131818	1	1	1	1	1	1	1
CIR1	1	1	74.9069020531822	1	98.4127902508964	1	1	1
CISD1	91.0245428483523	1	1	1	1	1	1	1
CISD2	1	93.3583635640035	1	1	1	1	1	106.886066975799
CISD3	244.237089265222	1	1	1	1	90.878332507331	1	1
CITED2	1	85.0348521702838	187.653831386158	1	141.792820026316	156.482485270167	1	64.7727839281615
CKAP4	1	1	1	1	1	1	1	84.5015383155152
CKLF	1	1	200.763651253812	96.7290651291894	234.621382521139	140.055857585127	1	104.563958044518
CKS1B	1	1	1	1	1	113.55255394583	1	85.660581886237
CLDN1	69.5816978226314	1	1	1	1	1	1	1
CLDND1	1	1	1	1	139.430844002129	1	1	1
CLEC12A	1	1	1	74.148764769871	1	1	1	1
CLEC2B	1	85.2225278109089	187.094913473515	1	187.02380112155	197.718857999977	1	1
CLEC2D	1	1	158.071407401965	1	1	124.546516941683	73.6740214778009	1
CLEC4E	1	1	1	130.665217095445	1	1	1	1
CLEC7A	1	195.617196936353	1	327.430538671409	1	1	1	1
CLIC2	1	86.6111673595479	1	1	1	1	1	1
CLIC3	1	1	1	1	311.95850063819	349.531046165006	1	1
CLINT1	1	1	1	1	1	1	1	71.2881795831707
CLK1	1	1	120.949580552961	71.0885686067297	158.167074045979	128.837521518217	119.972044979179	1
CLNS1A	1	1	73.8517625955838	65.6607422377396	67.5645670370688	1	82.4421054505432	1
CLPTM1L	1	1	1	1	1	1	1	104.817848144593
CLTA	130.013381367885	337.852259304799	87.616640959967	258.356490060789	140.178080106281	144.027972025396	1	77.6105556204172
CLTC	90.4573246694257	204.802941909193	1	110.348621807086	1	1	1	1
CLU	2122.37755865742	1	92.147970114505	172.467005193537	72.7382336342599	85.6049598321371	104.873874285091	1
CMC1	1	1	827.064602930816	1	3924.86583747006	932.148784918811	1	1
CMKLR1	1	76.9900975690468	1	1	1	1	1	1
CMPK1	94.6001038222002	72.9549845662566	133.985320294756	1	71.2409138913241	109.350954073655	133.385529920231	1
CMTM3	1	1	78.7616667415673	1	96.0408478325634	1	1	1
CMTM6	131.782570152872	276.582649921639	76.5060875985879	211.119746139048	82.6872985210912	85.0881889201756	64.0819109669079	1
CNDP2	1	133.181609355034	1	1	1	1	1	1
CNN2	1	1	101.092247287523	1	73.5074598503369	1	1	1
CNN3	131.56719504163	1	1	1	1	1	1	1
CNOT6L	1	1	86.6927057902091	1	121.028298155749	90.341373467128	1	1
CNPY2	65.7177456174818	1	1	1	87.4731016648913	74.4588695455008	1	178.450016090813
CNPY3	1	69.1240482991495	1	178.667092565597	1	1	1	1
COA3	137.572346487802	1	1	1	74.4670630139723	1	1	1
COA4	59.3761287460132	1	1	1	1	1	1	1
COL18A1	204.097935772843	1	1	1	1	1	1	1
COMMD7	1	1	1	1	117.678635793215	1	1	1
COMT	85.2130971432271	151.448089994537	1	82.4621614439894	1	1	1	1
COPE	62.4722610616524	1	153.318119502949	164.222718133253	178.984211756703	154.97182097995	110.999744143797	448.15157853895
COPS6	1	1	71.0799823380846	1	67.594510003171	90.1270680076103	1	1
COPZ1	1	1	1	1	1	1	1	84.5380326424341
COQ7	1	1	1	1	1	1	132.045109491259	1
CORO1A	1	1	937.878667404774	414.025425214655	1040.95935750828	1139.52836955611	331.572077505704	266.832824139788
CORO1B	1	77.2009780446492	1	1	1	1	1	1
COTL1	1	663.783444735284	157.41328549755	880.232257790641	188.198397446979	1	229.545983332103	101.555359451141
COX20	105.36743517917	1	1	1	1	1	1	1
CP	693.01906394992	1	1	1	1	1	1	161.777891950261
CPB2	544.499259079245	1	1	1	1	1	1	1
CPEB4	61.880452107285	81.5844186170638	1	1	1	1	1	96.3755010883547
CPM	1	363.255845013026	1	228.718448110027	1	1	1	1
CPNE1	1	1	75.17535061389	1	111.667890137691	84.2889069335387	1	1
CPNE5	1	1	1	1	1	1	1	171.685213757736
CPS1	904.862410624638	1	1	1	1	1	1	1
CPVL	1	332.579699528639	1	173.580141651921	1	1	1	1
CR1	1	90.5301159371401	1	1	1	1	1	1
CREBL2	1	127.032224877378	1	1	1	1	1	1
CREG1	1	991.747996037352	1	177.234897781875	1	1	1	1
CRELD2	1	1	1	1	1	1	1	262.74070722492
CRIP1	1	1	188.986105914989	174.538465477467	1	296.976045749776	184.08860143363	156.462344227829
CRLS1	71.8999623415372	1	1	1	1	1	1	1
CRTAP	1	1	1	134.361424463225	1	1	1	1
CRYL1	105.072755818824	96.9917877014566	1	1	1	1	1	1
CRYZ	67.8803770308575	1	1	1	1	1	1	1
CSF1R	1	255.926711679777	1	161.121764265357	1	1	1	1
CSF3R	1	1	1	155.204682384108	1	1	1	1
CSK	1	1	1	1	86.5953468325907	86.0674616423949	118.233434285841	1
CSNK1D	1	1	1	1	85.388225477812	1	1	1
CST3	1176.16818476103	4187.37827335638	1	3566.50213993215	1	99.7267538566004	1	1
CST7	1	1	537.469514264149	1	525.041202944971	818.463722361793	1	1
CSTA	1	84.5460345354324	1	626.365779954874	1	1	1	1
CTD.3252C9.4	1	1	99.2907481368207	132.437281666027	167.454067025929	1	1	1
CTNNB1	89.1649694778056	85.0582133620564	1	124.137580509597	78.3456344764328	1	1	1
CTNND1	61.1212664383558	1	1	1	1	1	1	1
CTSA	1	70.0879846954308	1	118.379126388587	1	1	1	1
CTSB	126.935715173163	3498.86028668179	1	963.178208381467	1	1	1	1
CTSC	1	418.279582671714	168.887525987917	176.867383077097	184.599208064585	215.622372041596	1	1
CTSD	497.836009088534	1519.10237371864	129.039941989521	830.57435804689	328.078426976348	250.470949326001	1	138.266784399448
CTSH	1	1	1	126.793626434012	1	1	1	68.6975620167359
CTSL	230.93936615996	257.001986818676	1	108.001602187193	1	1	1	1
CTSS	1	2205.20308095136	90.2769827160093	1680.44166373689	97.2921574203257	85.5106257581562	180.799943850446	64.2357617252573
CTSW	1	1	242.559915914729	1	357.77483972113	635.896866396829	1	1
CTSZ	144.191927054827	299.381452723075	1	232.964832141772	1	1	82.2077679000717	84.3456572099331
CWC15	1	1	67.0258541547507	1	66.7175138659849	1	1	1
CWF19L2	1	1	77.013391548847	1	1	1	1	1
CX3CR1	1	1	1	1	1	115.876152103065	1	1
CXCL12	1	369.901376757862	1	1	1	1	1	1
CXCL16	1	259.847308794785	1	126.499844595617	1	1	1	1
CXCL2	215.821277038833	1	1	323.849491239145	1	1	1	1
CXCL3	1	1	1	131.688940969352	1	1	1	1
CXCL8	1	1	1	692.658149101118	1	1	1	1
CXCR4	1	148.819360317651	1124.55330530722	212.554428893277	1123.76717472185	963.971185901985	1264.81311262738	115.837132996244
CXCR6	1	1	141.77351664652	1	165.537995358805	1	1	1
CXXC5	1	1	1	1	103.295705130269	1	136.924188475874	1
CYB5B	1	1	1	1	1	92.4756680669167	1	1
CYB5R3	105.510450769142	1	1	1	1	1	1	1
CYBB	1	315.974497838411	1	324.43395546288	1	1	1	1
CYC1	85.2854401166161	1	1	1	1	83.3949701810299	1	148.891804212361
CYCS	78.3567578448525	1	241.407994818636	92.2561466305694	265.113584283379	266.058801179655	173.947504633007	434.56584956576
CYFIP1	1	94.7606528386266	1	1	1	1	1	1
CYP27A1	150.307895603128	1	1	1	1	1	1	1
CYP2A6	115.402347869262	1	1	1	1	1	1	1
CYP2B6	160.812470787905	1	1	1	1	1	1	1
CYP2C8	792.727796489655	1	1	1	1	1	1	66.5054498404057
CYP2C9	688.243636811457	1	1	1	1	1	1	1
CYP2D6	184.368661515065	1	1	1	1	1	1	1
CYP2E1	2634.68864104536	1	1	1	1	1	1	107.609273911373
CYP3A4	1172.8473951995	1	1	1	1	1	1	1
CYP3A5	189.271689142654	1	1	1	1	1	1	1
CYP4A11	214.061374379192	1	1	1	1	1	1	1
CYP4F3	232.639345550295	1	1	1	1	1	1	1
CYP8B1	365.980655775849	1	1	1	1	1	1	1
CYTH1	1	1	1	1	1	80.1443245869178	1	1
CYTIP	1	1	149.483511347964	1	180.160352174643	172.954590386835	1	1
DAB2	1	194.407924259736	1	1	1	1	1	1
DAD1	102.72752790663	115.78242707188	137.42581073138	1	129.075336050082	151.290813256147	112.632742661058	280.635981342474
DBNL	1	1	1	81.5625748234246	74.373073208243	1	1	1
DCK	1	1	70.4471307934359	1	83.4174935034121	96.0142037270655	79.295746838338	1
DCTN3	1	1	67.1228240890666	1	107.070982434023	138.818178810294	1	66.4550109840367
DDAH2	1	108.830804576487	1	1	1	1	1	1
DDIT4	1	1	296.312857310424	1	483.222031016314	337.393033902937	159.002506824979	93.6940828638331
DDOST	1	1	1	1	1	97.8806059244207	1	123.525564202615
DDX1	1	1	1	1	1	1	1	65.7341303149164
DDX21	93.3224856304054	1	95.3898494469292	154.667434135179	1	1	96.7465579129454	203.863211677952
DDX24	1	1	184.869640774798	1	159.361468674336	106.888800177606	118.896913463999	70.6134858222036
DDX39A	1	1	1	1	1	1	1	78.5779260981592
DDX3X	87.3747515329579	156.638378857583	123.875265712031	138.508671426679	133.814865467202	114.912087341749	1	1
DDX46	1	1	96.8752231858264	89.4794499897381	118.689097549943	123.832174410094	1	124.149770163398
DDX6	1	1	95.247639966278	1	132.083729887549	115.199245785684	91.1685118595254	1
DECR1	87.6760906020224	1	79.0351204811843	1	74.9767257332607	87.9424360081934	1	1
DEF6	1	1	1	1	78.462207648051	1	1	1
DEFB1	216.136209558853	1	1	1	1	1	1	1
DENND2D	1	1	122.587940174039	1	177.062545399767	170.211796453579	1	1
DERL1	1	1	1	1	1	1	1	137.841979061598
DERL3	1	1	1	1	1	1	1	428.410188509942
DGCR6L	53.5817465013392	1	72.6050134910184	1	115.44651817258	1	1	1
DGKZ	1	1	66.9588269381544	1	124.976648710435	97.3255426520816	1	1
DGUOK	1	1	71.7199879573009	1	102.764612896393	78.5117410362757	1	1
DHCR24	505.982732159415	1	1	1	1	1	1	121.002543932971
DHRS3	78.8932398404774	1	1	1	90.6761425722241	1	1	1
DHRS4L2	65.8360451980127	1	1	1	1	1	1	1
DHRS7	57.7414002814324	1	89.867419093813	1	100.683550552973	165.717291140737	1	1
DHTKD1	81.0700364260389	1	1	1	1	1	1	1
DHX36	1	1	80.1920599320238	1	91.1382863005461	1	1	1
DIP2A	1	1	1	1	1	124.266417640467	1	1
DNAJB1	1	1	286.727543375034	1	317.115338632019	161.048373505655	156.211319011595	1
DNAJB11	1	1	1	1	1	1	1	186.253332285304
DNAJB6	1	1	117.527062842574	87.3763463868916	135.248275557104	114.832919718287	1	1
DNAJB9	62.1870523550095	1	1	1	1	1	1	56.1337827874988
DNAJC1	1	1	84.7319018845377	1	91.6188378930052	95.5444844659381	1	80.5480307216492
DNAJC15	86.716360745073	1	1	95.5215813519162	1	1	1	121.863408042995
DNAJC3	1	1	1	1	1	1	1	75.5458777682675
DNAJC4	1	1	1	1	63.6678762490687	1	1	1
DNAJC7	1	1	1	1	104.83650346258	83.4295276372071	1	1
DNAJC8	1	1	84.2591932912087	1	116.669675533567	124.550389073869	134.932933214546	1
DNASE1L3	673.230266536965	1	1	1	1	1	1	1
DNPH1	73.8595814573742	1	1	1	1	1	1	1
DOCK8	1	81.3832106228613	73.7265425488784	1	86.6908924473756	1	88.3942717990724	1
DOK2	1	88.7862833250357	112.802307654131	104.62188336927	145.176549174524	205.691638080251	1	1
DPM3	95.4666633694102	1	1	1	1	1	1	84.289952869443
DPP7	1	114.062442298797	95.0949228165332	85.5162967760285	105.895175474858	82.8413056426182	1	1
DPYD	1	1	1	85.5882200255985	1	1	1	1
DPYS	177.341065058157	1	1	1	1	1	1	1
DPYSL2	1	205.858378551012	1	115.884329482145	1	1	1	1
DRAM2	1	113.667211510173	1	120.20762338344	1	1	149.385290027686	1
DRAP1	1	1	141.11377069649	110.776205800344	198.597633686575	155.934248956197	1	74.8211131748034
DSP	69.5230773932874	1	1	1	1	1	1	1
DST	1	77.7219295622636	1	1	1	1	1	1
DSTN	336.444673992584	153.058733864773	86.919286692348	1	1	132.010065790206	1	135.754148954983
DUSP2	1	1	501.280897834245	1	547.153946251122	364.554656797759	94.6770518529501	1
DUSP23	92.9302472748998	1	1	1	1	1	1	1
DUSP6	74.0964087672014	111.249107395615	1	231.062228002948	104.371691358582	1	1	1
DUT	1	1	79.7684728454586	1	1	168.032794407142	1	154.753530693322
DYNC1I2	79.5418860878225	97.5984081672316	1	98.1478642545828	1	1	1	1
DYNLRB1	1	1	91.1527065819229	73.028865568203	101.35990303304	95.275131243798	1	102.06609011192
DYNLT1	1	1	1	1	81.972546953497	1	1	1
EAF2	1	1	1	1	1	1	1	84.0059478528683
EAPP	1	1	74.1553058387699	1	76.2485193197383	90.4000361743121	89.2709056500747	1
EBI3	1	95.1916306176218	1	1	1	1	1	1
EBP	236.144446560228	1	1	1	1	95.3520872609997	1	86.4846457306244
EBPL	107.211923732034	1	1	1	1	1	1	1
ECH1	200.108089377475	1	127.640242942067	1	176.274495060668	107.886172398012	1	97.8344939020176
ECHDC2	353.558826130702	1	1	1	1	1	1	1
ECHS1	580.306828051317	1	1	1	90.8923021947214	1	1	1
ECI1	77.8921137399085	1	1	1	1	1	1	1
ECI2	57.3478122106129	1	1	1	1	1	1	1
EFHD2	1	100.256005210712	1	169.416818979928	121.573380569951	285.877985235161	1	1
EFNA1	61.5260071900811	1	1	1	1	1	1	1
EGFL7	133.267651419699	1	1	1	1	1	1	1
EGR1	149.43130392349	219.837937704983	92.7540656538488	190.609661107347	1	1	1	1
EHHADH	107.769321920198	1	1	1	1	1	1	1
EI24	235.21820798188	1	1	1	1	1	1	1
EIF1AX	135.909940584867	1	77.8017318375363	120.381185127015	74.2817190216091	1	1	95.1295673513875
EIF1AY	1	1	1	1	70.3833799515261	1	109.081791796116	85.4759488550192
EIF2S3	1	1	74.4911883396995	102.11743742272	63.8207603660241	1	172.98073548015	1
EIF3I	1	1	87.9270081584457	1	123.5685684263	101.390609031693	1	104.958056915593
EIF3J	163.270221367806	1	1	85.2337934718532	95.3596570329349	1	97.7909141149582	121.276042823283
EIF3M	1	70.3596117723659	139.317789305268	197.085305501733	131.977324070112	128.953733969076	1	70.217082525804
EIF4A1	1	1	159.544925754456	105.092231694208	163.535724787721	130.392532578689	1	1
EIF4EBP1	1	1	1	78.6121108194694	1	1	1	1
EIF4EBP2	58.7760126387563	1	1	1	1	1	1	1
EIF4G1	57.0394572301794	1	1	1	1	1	1	1
EIF4H	1	1	1	1	74.9762985528696	1	1	1
EIF5A	105.331501550258	1	115.225239982211	116.979811415948	131.809736907998	150.37927647872	101.29182931274	394.345681142006
EIF5B	209.87567324682	1	134.515788800249	105.720420649315	98.6443226211753	122.185434211004	82.9333262002198	298.412882479872
EIF6	78.0636940158813	1	72.7399638270363	1	1	1	1	1
ELF1	1	1	156.52855180985	85.1174657507708	125.837152755649	116.263750549263	1	1
ELL2	1	1	1	1	1	1	1	93.3637781853511
ELOVL5	1	1	1	1	72.715551138211	1	1	1
EMB	1	1	116.756299200594	1	74.578031925393	101.515146633417	1	1
EMC10	1	1	75.2908127415329	1	60.5747602881886	1	1	1
EMC4	1	1	1	1	1	1	1	76.4097676284307
EMC6	1	1	1	1	1	1	1	76.7465382743192
EMC7	1	1	1	1	1	1	1	82.7364754184075
EML4	1	1	77.8634337072212	1	1	1	1	1
EMP2	97.1536377151186	1	1	1	1	1	1	1
EMP3	1	140.968410159091	212.358994001787	493.819743403932	1	460.802393142868	168.209137473884	128.539498945023
ENG	211.623005037581	1	1	1	1	1	1	1
ENSA	1	1	108.64481201589	1	141.928890127361	130.80454161022	70.8159585743504	71.0832155422259
EOMES	1	1	88.2052384803054	1	187.870958795766	1	1	1
EPAS1	131.171558033712	1	1	1	1	1	1	1
EPB41L2	1	253.292455935076	1	1	1	1	1	1
EPB41L3	1	75.3129844545965	1	1	1	1	1	1
EPB41L4A.AS1	1	1	1	1	77.7946195406033	1	103.722611039042	1
EPC1	1	1	92.7142558137881	1	123.013879953738	84.4158263024533	70.8589505450409	1
EPHX1	301.368561138516	1	1	1	1	1	1	1
EPN1	1	125.163181654708	1	1	1	1	1	1
ERBB2IP	1	1	1	1	68.6460905474164	1	1	1
EREG	1	1	1	200.982400963861	1	1	1	1
ERGIC1	91.6425817539514	1	1	1	1	1	1	1
ERGIC3	66.8829809575052	1	81.1557498637826	98.6692713138	83.1289905095649	1	1	169.529545680654
ERLEC1	1	1	1	1	1	1	1	245.932094619728
ERP44	1	1	1	1	1	1	1	64.4619043316643
ERRFI1	308.238845455865	1	1	1	1	1	1	1
ESD	65.8363543117513	1	1	98.591558739341	82.5584134802572	1	1	1
ESRRA	101.408559878159	110.259843224249	1	1	1	1	1	1
ETFA	131.978395255451	1	1	1	1	1	1	1
ETFB	441.871143425782	1	87.3722165603342	93.286531637041	92.4499671971435	1	75.7418336085379	1
ETNK1	1	106.370475244605	1	1	1	1	1	1
ETNK2	64.3762758380205	1	1	1	1	1	1	1
ETS1	1	1	173.708454749018	1	201.062644065206	176.918147099471	1	1
ETS2	146.181666175172	209.935035591697	1	100.354320283059	1	1	1	1
EVI2A	1	73.8582116888246	87.0099063159947	188.760692927172	1	1	1	1
EVI2B	1	280.614275312341	150.879979072105	377.999840065573	109.257011097467	96.3441792710381	232.132766297502	1
EVL	1	1	296.52167884991	1	461.580205574449	395.481000640276	181.357844044363	1
EZR	1	1	1	1	1	1	107.324814409073	99.8518055337055
F10	63.9752871761646	1	1	1	1	1	1	1
F12	223.643123836983	1	1	1	1	1	1	1
F13A1	1	1	1	91.147123320019	1	1	1	1
F2	392.746444047784	1	1	1	1	1	1	1
F5	89.5982673786014	1	1	1	1	1	1	1
F9	239.700282535532	1	1	1	1	1	1	1
FABP5	1	118.364903906175	1	179.26358026368	1	1	1	122.230027898591
FAH	90.7490113542194	1	1	1	1	1	1	1
FAM107B	67.6765555238457	1	93.5570749189378	1	129.676539567225	117.083701915809	82.1303438276989	1
FAM120A	71.6379082157907	106.337454383342	1	87.1200551055983	1	1	1	1
FAM129C	1	1	1	1	1	1	112.22036732	1
FAM133B	59.6583895602704	1	91.3541586452291	105.817673038261	124.202119787983	86.2838190405301	127.151970005324	1
FAM136A	1	1	1	1	1	1	1	72.8235149038237
FAM162A	93.433045502101	1	1	1	1	1	1	1
FAM173A	1	1	1	1	75.7883947356668	1	1	1
FAM177A1	86.3873585804331	1	1	1	1	1	1	1
FAM195A	61.9687462312573	1	1	1	1	1	1	1
FAM198B	1	81.7561337133499	1	84.276790436911	1	1	1	1
FAM210B	58.7081968959453	1	1	1	1	1	1	1
FAM213A	107.670457572633	1	1	1	1	1	1	1
FAM26F	1	408.302008486786	1	205.758870662425	1	1	157.418652877207	1
FAM45A	1	1	1	78.0522718372985	1	1	1	1
FAM46C	1	1	1	1	1	1	1	97.6673919004782
FAM49B	1	110.713189587795	178.58102471634	162.233549446978	324.062699387461	306.721757104742	1	1
FAM65B	1	1	72.3545090582482	119.644466941993	1	153.364921578388	194.401558068388	1
FAM96A	85.4227782649701	92.9386165311112	1	74.0029064796036	1	1	81.6434714384382	1
FAM96B	71.3798802233058	1	102.603318121118	1	104.449256278397	82.5865233528865	1	112.822058835488
FASLG	1	1	1	1	75.9893255217181	1	1	1
FASN	92.1879327933147	1	1	1	1	1	1	1
FBL	1	1	131.166015363511	1	177.200175609214	103.82232478115	85.5649757110192	121.922476692383
FBP1	176.995050046487	1	1	1	1	1	1	1
FBXL5	1	1	1	84.0101182966193	1	1	1	1
FBXW5	1	1	1	1	85.7401126863531	76.8613313075665	1	1
FCER1G	1	2337.0464035215	1	1524.13986534521	1466.26739663972	814.051698716391	1	1
FCER2	1	1	1	1	1	1	88.0247132566064	1
FCGR1A	1	1	1	92.8562540901755	1	1	1	1
FCGR2A	1	1	1	136.152814979785	1	1	1	1
FCGR3A	1	1442.53638862003	1	272.651798890602	1	506.138809004634	1	1
FCGRT	266.819939371568	1070.9305208699	1	490.691772563696	1	1	1	1
FCHO2	1	74.7309187301025	1	1	1	1	1	1
FCMR	1	1	68.6753208411831	1	84.8038249758424	98.298829525552	226.32814850184	1
FCN1	1	1	1	653.024187150199	1	1	1	1
FCN3	915.403435264747	127.117791629812	1	232.046093337721	1	1	1	74.043802708234
FCRL5	1	1	1	1	1	1	1	98.2000555772971
FCRL6	1	1	1	1	85.208675503754	139.77077265321	1	1
FCRLA	1	1	1	1	1	1	130.80301572046	1
FDFT1	81.5091077752257	1	1	1	1	1	1	1
FDPS	153.169187204702	1	1	1	76.5832754668264	101.808426694478	1	107.17132675549
FDX1	61.8082482081952	1	1	1	1	1	1	76.0280078632872
FERMT3	1	1	74.0386410667283	1	72.0218299246076	80.9061115618031	1	1
FEZ2	1	98.8543870527508	1	1	1	1	1	1
FGD2	1	1	1	75.0719832680039	1	1	1	1
FGFBP2	1	1	1	1	1	1096.9008766536	1	1
FGFR1OP2	1	1	90.2946155885246	1	102.607634621844	1	1	1
FGL2	1	523.352461571607	1	327.294821605971	1	1	1	1
FGR	1	1	1	150.768244120523	178.522612431401	156.208831383964	1	1
FIBP	1	1	1	1	64.9601518992982	1	1	1
FKBP11	1	1	177.310479800744	1	205.184926843031	151.017012026828	1	993.912647329905
FKBP2	299.233824728887	1	1	79.2928942434668	1	1	1	467.952111007428
FKBP5	98.973418343305	384.076449030348	100.519036413132	255.463736991193	131.537728989464	114.823283667208	1	1
FLNA	1	1	1	126.781949236871	1	152.029191784327	1	1
FMNL1	1	1	93.9440850464055	1	72.9774436393556	152.637012191398	1	1
FMO3	152.248719881659	1	1	1	1	1	1	1
FMO5	89.3416195174409	1	1	1	1	1	1	1
FN1	445.551121546612	1	1	1	1	1	1	1
FNBP1	1	195.377187455866	209.533711783037	106.691365774656	141.979245785619	161.297718300599	121.502125075126	1
FNIP1	1	1	1	1	1	87.2327185227575	79.1448203773031	1
FOLR2	1	443.223770895254	1	1	1	1	1	1
FOXN3	1	1	73.2137873028383	1	82.9370395249643	108.361901895657	1	1
FOXP1	1	1	103.039693796003	1	119.544319706966	98.615648268339	221.611356710775	1
FPR1	1	88.9887862706525	1	184.070582056223	1	1	1	1
FPR3	1	115.800907474501	1	1	1	1	1	1
FRG1	1	1	75.2063404844089	1	101.051001645611	82.9217954592991	1	1
FRMD4A	1	137.405090550606	1	1	1	1	1	1
FRMD4B	1	156.51653289629	1	1	1	1	1	1
FTCD	196.771859500256	1	1	1	1	1	1	1
FTH1	3336.93808947977	16360.4052786972	1704.09594015482	10827.4177057889	1495.13867913819	1802.58861028635	1809.36149893771	1233.36261775953
FTL	11537.0955970678	117063.75370678	3715.4890564372	33254.064604309	3430.62578761059	3997.19165017459	4039.97104262929	4609.25184720123
FUCA1	1	163.954684122433	1	1	1	1	1	1
FUNDC2	1	1	1	1	1	1	1	61.1559162017927
FUOM	194.448882134826	1	1	1	1	1	1	1
FUS	1	1	239.109739592514	104.140208001806	298.373030786273	277.17366935733	180.436814764348	1
FXYD1	232.022416430076	1	1	1	1	1	1	1
FYB	1	355.500495491482	235.511088873044	296.809253253757	252.007657303623	175.488401902323	1	1
FYN	1	1	238.927245584478	1	440.199961003772	199.717156384542	1	1
G3BP1	69.2060269847471	1	1	1	1	1	1	1
G3BP2	1	1	69.0722638907357	1	1	1	1	1
G6PC	79.9862102160948	1	1	1	1	1	1	1
G6PD	1	1	1	1	73.2902783135873	1	1	1
GABARAP	1	1	1	83.2183117318506	1	1	1	1
GABARAPL1	1	1	1	1	77.3950785590136	1	1	1
GABPB1	1	1	119.082253902626	1	148.822187926345	116.189166473429	109.950937331307	1
GABPB1.AS1	1	1	113.470149789879	1	107.727135006422	1	87.8077621151464	1
GADD45G	75.8075971644876	1	1	1	1	1	1	1
GADD45GIP1	115.063830301514	1	90.469700784575	74.1237217270516	89.5680891458732	75.7161598141289	1	193.383385015538
GAMT	254.935563373631	1	1	1	1	1	1	1
GATA3	1	1	1	1	80.3402175273272	1	1	1
GATM	628.779717494651	110.60529195622	1	1	1	1	1	1
GBP2	1	1	66.2447622089851	1	1	1	1	1
GC	1262.37506627866	1	1	1	1	1	1	1
GCA	1	96.1633602892129	1	161.230386744175	1	1	1	1
GCC2	1	1	92.2664855038663	1	1	1	1	1
GCHFR	282.86330398628	1	1	1	75.0889454331979	1	1	1
GCSH	112.301221231979	1	1	1	1	1	1	1
GFOD1	1	1	1	1	110.411623083013	1	1	1
GGA1	1	1	82.178703440935	1	152.00087108757	1	1	1
GGH	70.1459974281989	1	1	1	1	1	1	87.4163957930037
GGNBP2	1	1	90.2903132323273	1	104.26707438815	93.7511416317077	106.406702093383	1
GIMAP1	1	1	154.053714013627	1	171.578087015666	175.746545503878	1	1
GIMAP2	1	89.3043871496096	66.9527979359695	1	1	1	1	1
GIMAP4	1	131.106094533874	253.741049589525	97.0602941455929	216.518013702606	209.453865967106	1	1
GIMAP6	1	1	82.7703108317352	1	126.058324723038	1	1	1
GIMAP7	1	1	483.419992518999	110.882993124824	477.908669985726	506.075114280702	1	1
GJB1	97.3256003816161	1	1	1	1	1	1	1
GLIPR1	1	137.097793045234	111.686790123828	204.721837959296	109.482169447387	94.8086604222583	1	1
GLIPR2	1	1	1	75.7407332185206	1	1	1	1
GLO1	1	147.913502657861	1	1	1	1	65.7394283783162	1
GLRX	64.2188899883222	244.232260621207	94.6937244038254	182.881055161657	65.9646565242507	164.77592634028	1	128.399964657101
GLRX5	62.0370026436036	1	1	1	1	1	1	1
GLUD1	155.059206793674	1	1	1	1	1	1	1
GLUL	306.714436341098	1362.80474413192	1	384.663669357829	1	1	1	1
GLYAT	122.556699109097	1	1	1	1	1	1	1
GLYATL1	76.7031834680742	1	1	1	1	1	1	1
GLYCTK	65.7234087550842	1	1	1	1	1	1	1
GMPPB	1	1	1	1	1	1	1	93.007137489282
GNAI2	1	173.837529713031	109.353687607085	269.391420951867	132.658722910472	131.279543232516	95.4385537274127	1
GNAI3	1	82.9975701117898	1	1	1	1	1	1
GNAQ	1	1	1	109.865814917242	1	1	1	1
GNB1	1	110.670573739628	1	77.6159478240352	1	1	1	1
GNB2	1	107.60116398173	73.6999493370734	133.711326374784	76.6846800123722	97.47031727997	1	1
GNG11	261.224159103923	1	1	1	1	1	1	1
GNG2	1	105.338777014586	79.117049327664	1	86.1523565183791	159.806774478611	1	1
GNG7	1	1	1	1	1	1	84.4313962641694	1
GNL3	1	1	1	1	1	1	1	105.846178581008
GNLY	1	1	224.184230660645	1	470.739174459294	6138.30575528519	1	1
GNMT	309.080556726128	1	1	1	1	1	1	1
GNPTAB	1	1	1	1	81.7887536698338	102.311180000662	1	1
GNS	1	234.632219446349	1	77.6602628285002	1	1	1	1
GOLGA4	57.9817670479014	83.2953834843139	1	1	1	1	96.3672165732576	1
GOLIM4	64.1565521981885	1	1	1	1	1	1	1
GOLPH3	57.2820862685679	1	1	1	1	1	1	1
GOT1	67.5395416438976	1	1	1	1	1	1	1
GOT2	65.1190062008778	1	1	1	1	1	1	1
GPAM	65.4895033676074	1	1	1	1	1	1	1
GPATCH8	1	1	68.6434221857762	1	165.622463713741	127.35242507367	1	1
GPBP1	1	1	97.3230713652097	1	135.5171685804	92.5223777351133	73.6235660735846	1
GPI	1	1	1	1	1	1	1	69.2267988022075
GPNMB	1	285.372573403252	1	1	1	1	1	1
